,Unnamed: 0,city,station,station_name,year,month,day,time_span,season,PM2.5,PRES,TEMP,DEWP,HUMI,IRAIN,pm25_camq,pm10_camq,PM25_cv,cbwd,CV_Iws,NE_Iws,NW_Iws,SE_Iws,SW_Iws,dem,geo,ndv,typ,road,dem_10,dem_25,dem_50,dem_75,dem_100,ndv_10,ndv_25,ndv_50,ndv_75,ndv_100,road_10,road_25,road_50,road_75,road_100,geo_10,geo_25,geo_50,geo_75,geo_100,typ_50,typ_100,typ_150,typ_200,lon,lat,TerraAOD,AquaAOD,Y-M-D
13,14555,Beijing,Beijing_Shunyi,Shunyi,2015,12,21,355,4,182.2083333333333,1023.8208333333336,-1.5666666666666669,-5.912517688499586,73.95833333333333,0.0,45.73866093254838,67.4824556395089,263.42031348433426,NW,0.2,2.4,4.5625,1.0,1.1,1132,36,0.584,41,0.21907337275,1111.7,1080.6,1069.74,1052.0933333333332,1039.16,0.57798,0.557268,0.5398340000000001,0.5302359999999999,0.525995,0.115484132497,0.092789661626,0.07921526497819999,0.07211934746786666,0.08338023803910001,36,36,47,47,47,52,52,52,52,116.65,40.41,494.0,190.66666666666663,2015-12-21
14,15650,Beijing,Beijing_Tiantan,Tiantan,2015,12,21,355,4,248.125,1023.0416666666664,-1.6375000000000004,-4.715044339522239,81.75,0.0,204.13017119254417,320.41620839919375,321.0769618123182,NE,0.45,2.0272727272727282,1.1,1.66,1.1,1055,16,0.508,53,0.02043553931,1031.9,989.44,981.0,976.92,974.97,0.542,0.523512,0.524228,0.5186586666666667,0.514674,0.05463845287499999,0.0397243914184,0.06666541321780001,0.06214689768693332,0.0770176452275,12,12,12,12,17,52,52,52,52,116.42,39.89,294.76,153.54166666666666,2015-12-21
15,16746,Beijing,Beijing_Wanliu,Wanliu,2015,12,21,355,4,246.375,1021.4375,-1.475,-5.2534987595,77.375,0.0,185.67029287726933,319.79352895728,308.8201360711628,NE,0.6666666666666666,2.2,2.2333333333333334,0.6,0.0,865,24,0.5720000000000001,32,0.01964136505,908.5,923.76,920.98,937.2133333333336,943.23,0.47798999999999997,0.471832,0.471674,0.4739653333333334,0.475713,0.035089393896,0.037609912519200005,0.052797433486,0.06931289616186667,0.07457931497919999,15,21,13,17,12,52,52,52,52,116.31,39.97,294.76,153.54166666666666,2015-12-21
16,17842,Beijing,Beijing_Wanshouxigong,Wanshouxigong,2015,12,21,355,4,269.125,1023.0416666666664,-1.6375000000000004,-4.715044375,81.75,0.0,204.13017119254417,320.41620839919375,320.70568228376567,NE,0.45,2.0272727272727282,1.1,1.66,1.1,980,12,0.476,52,0.02043553931,983.3,959.32,956.76,958.28,957.97,0.5539999999999999,0.502232,0.509508,0.4957786666666668,0.5051140000000001,0.020796077420000003,0.040270651369199995,0.0603881814636,0.06367382014159999,0.0762672511583,12,17,13,12,17,52,52,52,52,116.37,39.88,294.76,153.54166666666666,2015-12-21
17,18937,Cangzhou,Cangzhou_Cangxianchengjianju,Cangxianchengjianju,2015,12,21,355,4,361.58333333333326,1026.8041666666668,-0.4499999999999998,-4.383333333333332,76.79166666666667,0.0,234.19931310673698,276.93289379537237,317.8319362614464,SE,0.4,1.0400000000000005,1.8,2.1125,2.15,1033,17,0.476,52,0.01980970061,1037.9,1068.28,1053.88,1056.8,1051.85,0.51799,0.556948,0.54679,0.5614319999999999,0.5759099999999999,0.090945604195,0.1075125224256,0.10550626571319999,0.1006856435384,0.0978699546532,33,77,77,77,77,12,52,52,52,116.885,38.299,413.0,1273.0,2015-12-21
18,20026,Cangzhou,Cangzhou_Dianshizhuanbozhan,Dianshizhuanbozhan,2015,12,21,355,4,344.875,1026.8041666666668,-0.4499999999999998,-4.383333333333332,76.79166666666667,0.0,234.19931310673698,276.93289379537237,318.25318430516637,SE,0.4,1.0400000000000005,1.8,2.1125,2.15,1008,17,0.56,22,0.03456582152,1043.2,1072.52,1056.26,1058.6533333333334,1052.81,0.5235799999999999,0.533748,0.54903,0.549752,0.5696279999999999,0.090945604195,0.10751252242560001,0.10143150878359998,0.1006856435384,0.0958155857354,33,77,77,77,77,52,52,52,52,116.85799999999999,38.325,530.75,728.0,2015-12-21
19,21116,Cangzhou,Cangzhou_Shihuanbaoju,Shihuanbaoju,2015,12,21,355,4,244.5833333333333,1026.8041666666668,-0.4499999999999998,-4.383333333333332,76.79166666666667,0.0,234.19931310673698,276.93289379537237,317.90987295662205,SE,0.4,1.0400000000000005,1.8,2.1125,2.15,1008,17,0.56,31,0.03456582152,1037.9,1072.52,1054.6,1058.48,1052.17,0.5163800000000001,0.545268,0.54591,0.5599386666666666,0.571829,0.090945604195,0.1075125224256,0.1014315087836,0.1006856435384,0.09507794092249998,33,77,77,77,77,52,52,52,52,116.87100000000001,38.323,530.75,728.0,2015-12-21
20,22206,Chengde,Chengde_Kaifaqu,Kaifaqu,2015,12,21,355,4,155.58333333333334,975.7791666666666,-6.958333333333332,-10.1625,79.0,0.0,27.22850029349152,41.51924038236165,252.15142239043988,CV,0.18571428571428567,0.6666666666666666,0.9,1.1166666666666667,0.5,946,19,0.5920000000000001,31,0.32377701651,946.4,942.32,949.88,958.9066666666664,962.05,0.6459900000000001,0.639832,0.6268739999999999,0.6119386666666667,0.608394,0.22965886785999998,0.1938650227496,0.16411095191740002,0.16508391507679998,0.1568339359463,39,39,39,39,32,22,52,22,31,117.963,40.936,306.1666666666667,232.0,2015-12-21
21,23295,Chengde,Chengde_Ligong,Ligong,2015,12,21,355,4,105.75,975.7791666666666,-6.958333333333332,-10.1625,79.0,0.0,50.778114480672635,72.12205953811443,251.7455400085968,CV,0.18571428571428567,0.6666666666666666,0.9,1.1166666666666667,0.5,923,22,0.66,11,0.32377701651,948.3,944.96,955.38,960.64,964.89,0.6531899999999999,0.6499119999999999,0.6312740000000001,0.614128,0.612912,0.22965886785999998,0.20462137645,0.16776196576340002,0.16795390173146665,0.1619839767264,11,11,32,39,39,31,12,12,31,117.932,40.983999999999995,281.8333333333333,383.0,2015-12-21
22,24384,Chengde,Chengde_Tielu,Tielu,2015,12,21,355,4,143.91666666666666,975.7791666666666,-6.958333333333332,-10.1625,79.0,0.0,27.22850029349152,41.51924038236165,252.3198619437859,CV,0.18571428571428567,0.6666666666666666,0.9,1.1166666666666667,0.5,946,28,0.5920000000000001,12,0.32377701651,946.4,942.32,949.38,958.9066666666664,961.26,0.6395899999999999,0.6398320000000001,0.624794,0.613112,0.6064339999999999,0.223376591979,0.1938650227496,0.1641109519174,0.1564760844413333,0.16064200427109998,19,39,39,39,39,31,31,12,31,117.96600000000001,40.916,306.1666666666667,232.0,2015-12-21
23,25473,Chengde,Chengde_Wenhuazhongxin,Wenhuazhongxin,2015,12,21,355,4,159.83333333333334,975.7791666666666,-6.958333333333332,-10.1625,79.0,0.0,30.36793244150756,45.73712297794697,251.44760507346484,CV,0.18571428571428567,0.6666666666666666,0.9,1.1166666666666667,0.5,975,26,0.8640000000000001,33,0.23134290487,946.8,972.08,970.36,971.8666666666667,974.36,0.6719999999999999,0.621116,0.6337520000000001,0.6322053333333333,0.640753,0.185316248617,0.18921684232920002,0.17291817673499998,0.17321589712493332,0.1628364459454,37,37,37,37,37,31,31,31,31,117.818,40.973,256.5,632.0,2015-12-21
24,26562,Chengde,Chengde_Zhongguoyinhang,Zhongguoyinhang,2015,12,21,355,4,156.29166666666666,975.7791666666666,-6.958333333333332,-10.1625,79.0,0.0,50.778114480672635,72.12205953811443,251.77106820023403,CV,0.18571428571428567,0.6666666666666666,0.9,1.1166666666666667,0.5,946,29,0.6679999999999999,31,0.32377701651,947.3,942.32,951.76,959.4266666666666,962.81,0.64599,0.6481520000000001,0.628234,0.61226,0.609114,0.22965886785999998,0.20462137645,0.16834602536559998,0.16694107145533335,0.1616273849876,16,11,39,32,39,12,31,52,31,117.95200000000001,40.983999999999995,297.0,198.0,2015-12-21
25,27651,Handan,Handan_Congtaigongyuan,Congtaigongyuan,2015,12,21,355,4,359.66666666666674,1018.5791666666668,0.775,-3.7833333333333337,73.20833333333333,0.0,287.56836930469063,434.6807542597786,427.5636899052262,NW,0.0,2.583333333333333,3.5933333333333333,1.7999999999999998,1.1,1060,19,0.35600000000000004,22,0.00856436354,1089.6,1113.04,1112.48,1116.0,1118.07,0.3352,0.33823600000000004,0.375354,0.36767466666666665,0.379114,0.054427102538,0.0711773418568,0.0777316401296,0.07309923999546668,0.08613610700639998,16,12,12,12,12,52,52,52,52,114.49600000000001,36.62,,,2015-12-21
26,28744,Handan,Handan_Dongwushuichulichang,Dongwushuichulichang,2015,12,21,355,4,439.66666666666674,1018.5791666666668,0.775,-3.7833333333333337,73.20833333333333,0.0,287.56836930469063,434.6807542597786,426.5747088646273,NW,0.0,2.583333333333333,3.5933333333333333,1.7999999999999998,1.1,1101,19,0.292,52,0.01205528303,1084.6,1107.24,1113.92,1112.7333333333333,1114.07,0.3212,0.342072,0.372714,0.3771133333333333,0.3956739999999999,0.054427102538,0.0748441749776,0.0777316401296,0.07483560028333333,0.08613610700639998,12,12,12,12,19,52,52,52,52,114.54299999999999,36.616,,,2015-12-21
27,29838,Handan,Handan_Huanbaoju,Huanbaoju,2015,12,21,355,4,341.0416666666667,1018.5791666666668,0.775,-3.7833333333333337,73.20833333333333,0.0,287.56836930469063,434.6807542597786,427.18885064030235,NW,0.0,2.583333333333333,3.5933333333333333,1.7999999999999998,1.1,1073,19,0.368,31,0.05184214724,1086.0,1109.56,1112.64,1113.4533333333334,1116.99,0.33359999999999995,0.34063200000000005,0.370954,0.3729,0.38403400000000004,0.054427102538000004,0.0711773418568,0.0777316401296,0.07309923999546668,0.08613610700639998,16,12,12,12,19,52,52,52,52,114.51299999999999,36.618,,,2015-12-21
28,30932,Handan,Handan_Kuangyuan,Kuangyuan,2015,12,21,355,4,258.75,1018.5791666666668,0.775,-3.7833333333333337,73.20833333333333,0.0,287.56836930469063,434.6807542597786,422.5931705358045,NW,0.0,2.583333333333333,3.5933333333333333,1.7999999999999998,1.1,1060,13,0.364,31,0.05184214724,1086.0,1111.48,1113.38,1114.6266666666668,1116.99,0.3336,0.34063200000000005,0.374234,0.3707133333333333,0.382354,0.065048794536,0.07085171986160001,0.0766314941616,0.07353906541786666,0.08308740817459999,13,12,12,12,12,52,52,52,52,114.50399999999999,36.578,,,2015-12-21
29,32024,Hengshui,Hengshui_Dianjibeichang,Dianjibeichang,2015,12,21,355,4,377.91666666666674,1024.8416666666667,0.12083333333333328,-4.65,71.08333333333333,0.0,249.3640081897914,299.2107846156298,339.61565308136545,SE,0.0,1.6,0.0,2.608333333333333,1.475,1105,13,0.36,24,0.02283955525,1138.5,1100.08,1075.52,1077.2533333333333,1058.95,0.3688,0.36208,0.34856000000000004,0.3521026666666667,0.355594,0.121504649475,0.13019306696159996,0.1230205554676,0.1170678284134667,0.121703968426,16,16,16,12,12,52,52,52,52,115.695,37.758,733.0,1173.0,2015-12-21
30,33116,Hengshui,Hengshui_Shihuanbaoju,Shihuanbaoju,2015,12,21,355,4,366.29166666666674,1024.8416666666667,0.12083333333333328,-4.65,71.08333333333333,0.0,249.3640081897914,299.2107846156298,339.9868397423272,SE,0.0,1.6,0.0,2.608333333333333,1.475,1105,13,0.36,22,0.01354602084,1155.8,1100.08,1073.74,1082.3733333333332,1058.95,0.3688,0.36208,0.34856000000000004,0.3521026666666667,0.355594,0.11716659259199998,0.1301930669616,0.1242159619912,0.12052093742493335,0.1237780383419,16,16,16,12,12,52,52,52,52,115.69,37.739000000000004,596.8,706.0,2015-12-21
